Price,Close,High,Low,Open,Volume,MA20,Days,Predicted
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
2023-01-31,141.8819122314453,141.9310807734851,139.90546287615942,140.31845162185502,65874500,133.51299285888672,0,150.9916100819971
2023-02-01,143.00291442871094,144.16322923439725,138.96152054070433,141.56728874190614,77663600,134.51400337219238,1,151.15369001321216
2023-02-02,148.30296325683594,148.65694079146772,145.69718026187857,146.4149930473278,118339000,135.71659202575682,2,151.31576994442722
2023-02-03,151.92156982421875,154.75351068440185,145.36288637728777,145.55954560277002,154357300,137.1659927368164,3,151.4778498756423
2023-02-06,149.1977996826172,150.5449461888697,148.2636570715711,150.02379246889225,69858300,138.25304412841797,4,151.63992980685737
2023-02-07,152.0690460205078,152.63936822302708,148.12597415973434,148.12597415973434,83322600,139.45760116577148,5,151.80200973807243
2023-02-08,149.38461303710938,152.0002240332312,148.64712974900903,151.31190929849808,64120100,140.49941864013672,6,151.9640896692875
2023-02-09,148.35211181640625,151.75437415824857,147.90962490884843,151.21355015828513,56007100,141.353914642334,7,152.12616960050255
2023-02-10,148.71652221679688,149.04151212756338,146.95371454850684,147.19007494553122,57450700,142.23056411743164,8,152.28824953171764
2023-02-13,151.51341247558594,151.91717418893083,148.62790397291747,148.65744714640496,62199000,143.18068466186523,9,152.4503294629327
2023-02-14,150.87326049804688,151.43461079325414,148.56880303013764,149.8096612758476,61707600,144.04078216552733,10,152.61240939414776
2023-02-15,152.97093200683594,153.13834833360136,150.55814431502776,150.7846469892343,65573800,145.04165344238282,11,152.77448932536282
2023-02-16,151.37551879882812,153.95572244720177,151.02098573800205,151.17854429955682,68167900,145.959806060791,12,152.9365692565779
2023-02-17,150.23313903808594,150.67630162569367,148.55896091432058,150.03617955770974,59144100,146.69300842285156,13,153.09864918779297
2023-02-21,146.22496032714844,149.00213887625634,146.15603126407484,147.9188390818426,58867200,147.06650390625,14,153.26072911900803
2023-02-22,146.64840698242188,147.67260518894304,144.92498541296462,146.60900607426132,51011300,147.391357421875,15,153.4228090502231
2023-02-23,147.1309814453125,148.05670759936388,145.00379786650186,147.8105044744373,48394200,147.7732795715332,16,153.58488898143816
2023-02-24,144.4818572998047,144.9545631210652,143.5068874555982,144.87577631301392,55469600,147.91949844360352,17,153.74696891265324
2023-02-27,145.67344665527344,146.90446214048941,145.21058363066865,145.46664446890208,44998500,148.02844314575196,18,153.9090488438683
2023-02-28,145.1712188720703,146.81585399639758,144.60002580056587,144.81668575965537,50547000,148.25632934570314,19,154.07112877508337
2023-03-01,143.1030731201172,144.99391093566584,142.80762642427203,144.59999202590106,55479000,148.31738739013673,20,154.23320870629843
2023-03-02,143.69400024414062,144.48185327566276,141.7145174362223,142.1872382713636,52238100,148.3519416809082,21,154.3952886375135
2023-03-03,148.7362518310547,148.8150386455079,145.09244806812092,145.79165662743975,70732300,148.37360610961915,22,154.55736856872858
2023-03-06,151.49371337890625,153.926201531547,151.1293375512549,151.4543124625378,87558000,148.35221328735352,23,154.71944849994364
2023-03-07,149.29757690429688,151.69066400049135,148.83471383986452,151.36567408118486,56182000,148.3572021484375,24,154.8815284311587
2023-03-08,150.5482635498047,151.1391569879468,149.5240652876753,150.48917721139935,47204800,148.28116302490236,25,155.04360836237376
2023-03-09,148.3028564453125,152.19286138999811,147.94832347409573,151.22774970109054,53833600,148.2270751953125,26,155.20568829358885
2023-03-10,146.24462890625,148.64757336129242,145.3681465462101,147.92866457828165,68572400,148.1217010498047,27,155.3677682248039
2023-03-13,148.1847686767578,150.81421679148337,145.45683328087654,145.56516327932812,84457100,148.09511337280273,28,155.52984815601897
2023-03-14,150.27252197265625,151.07021762009597,147.82034869008896,148.98242012042218,73695900,148.03306884765624,29,155.69192808723403
2023-03-15,150.6664581298828,150.92250395033966,147.64307677577528,148.8937927615987,77167900,148.02272872924806,30,155.8540080184491
2023-03-16,153.48301696777344,154.08375312665916,149.33695019463687,149.84905684492745,76161100,148.04833297729493,31,156.01608794966418
2023-03-17,152.6459503173828,154.35952962100535,151.9368840556802,153.70954970993674,98944600,148.11185455322266,32,156.17816788087924
2023-03-20,155.0094757080078,155.42311016638172,151.80883520237765,152.71487589238697,73641400,148.35067138671874,33,156.3402478120943
2023-03-21,156.8609161376953,156.9790888157361,154.1625247817563,154.93069227015488,73938300,148.8824691772461,34,156.50232774330937
2023-03-22,155.43292236328125,159.67746084227036,155.41322191031108,156.8805976022137,75701800,149.32169494628906,35,156.66440767452443
2023-03-23,156.51622009277344,159.09643867673987,155.28520465118157,156.41774787367245,67622100,149.79095687866212,36,156.82648760573952
2023-03-24,157.81619262695312,157.90482213956633,155.45264879499626,156.44730394409444,59196500,150.45767364501953,37,156.98856753695458
2023-03-27,155.87612915039062,158.3283178086609,155.4723523985585,157.51092158923748,52390300,150.9678077697754,38,157.15064746816964
2023-03-28,155.25567626953125,156.0829301456233,153.6110412861723,155.57082346557496,45992200,151.47203063964844,39,157.3127273993847
2023-03-29,158.32826232910156,158.6040085442053,156.92983080192064,156.94951622654114,51305700,152.23329010009766,40,157.4748073305998
2023-03-30,159.89414978027344,160.00247975071784,158.82070781762587,159.07675364456477,49501700,153.0432975769043,41,157.63688726181485
2023-03-31,162.39559936523438,162.49408664068446,159.4510191700869,159.97296867046583,68749800,153.72626495361328,42,157.7989671930299
2023-04-03,163.64627075195312,163.76444342844442,161.725889623748,161.7751332479675,56976200,154.33389282226562,43,157.96104712424497
2023-04-04,163.11447143554688,164.3060859426903,162.6023648150906,164.0697406002056,46278300,155.0247375488281,44,158.12312705546003
2023-04-05,161.27285766601562,162.54327395468036,159.3426339632527,162.23798454444034,51511700,155.56096725463868,45,158.28520698667512
2023-04-06,162.1592254638672,162.45467221127325,159.53962067833683,159.96308282888376,45390100,156.2537857055664,46,158.44728691789018
2023-04-10,159.5691375732422,159.5691375732422,157.6487565719111,158.96840146235982,47716900,156.920011138916,47,158.60936684910524
2023-04-11,158.3578643798828,159.89416958590462,158.07226031922266,159.88432686993428,47644200,157.42866592407228,48,158.7714467803203
2023-04-12,157.66847229003906,159.59869619161648,157.35332510698044,158.77145737665472,50133100,157.7984634399414,49,158.93352671153536
2023-04-13,163.04554748535156,163.28190788405584,158.96842452673738,159.1752417539843,68445600,158.41741790771485,50,159.09560664275045
2023-04-14,162.70086669921875,163.794009087704,161.33197803499354,162.09027277975596,49386500,158.8783103942871,51,159.25768657396551
2023-04-17,162.7205810546875,162.87815467656333,161.53880894471416,162.58270789230806,41516200,159.38204193115234,52,159.41976650518058
2023-04-18,163.9417266845703,164.8674527745674,163.13417327770642,163.5773508935462,49923000,159.82865447998046,53,159.58184643639564
2023-04-19,165.08412170410156,165.60607111909823,163.02585218946155,163.2819130529251,47720200,160.23981475830078,54,159.7439263676107
